account.continue	Continue
tutorial.date-time.subtitle	Configure date and time formats
tutorial.date-time.title	Date & Time Settings
tutorial.debt-detail.steps.dd-actions.desc	Record a new payment against this debt, or mark it as fully settled.
tutorial.debt-detail.steps.dd-actions.title	Record Payment
tutorial.debt-detail.steps.dd-info.desc	Details about the original transaction, interest rate (if any), due date, and the customer or vendor involved.
tutorial.debt-detail.steps.dd-info.title	Debt Information
tutorial.debt-detail.steps.dd-payments.desc	Chronological list of all payments made against this debt, including dates, amounts, and payment methods.
tutorial.debt-detail.steps.dd-payments.title	Payment History
tutorial.debt-detail.steps.dd-summary.desc	View total debt, amount paid, and outstanding balance. The progress bar shows how much has been repaid.
tutorial.debt-detail.steps.dd-summary.title	Balance Summary
tutorial.debt-detail.steps.debt-detail.desc	This screen shows the complete details of a debt or credit account — what was borrowed, payments made, and remaining balance.
tutorial.debt-detail.steps.debt-detail.title	Debt Overview
tutorial.debt-detail.subtitle	Track credit and payments
tutorial.debt-detail.title	Debt Details
tutorial.debt-list.steps.debt-list.desc	View all debt and credit records. This includes both receivables (customers owe you) and payables (you owe suppliers).
tutorial.debt-list.steps.debt-list.title	Debt Records
tutorial.debt-list.steps.dl-list.desc	Each entry shows the person or company, amount, due date, and status (pending, overdue, paid).
tutorial.debt-list.steps.dl-list.title	Debt Entries
tutorial.debt-list.subtitle	View all debt entries
tutorial.debt-list.title	Debt Records
tutorial.debt-management.steps.debt-management.desc	Track all credit transactions — what customers owe you and what you owe suppliers. Manage payments and due dates.
tutorial.debt-management.steps.debt-management.title	Debt Management
tutorial.debt-management.steps.dm-actions.desc	Record payments received from customers or make payments to suppliers directly from this screen.
tutorial.debt-management.steps.dm-actions.title	Collect & Pay
tutorial.debt-management.steps.dm-summary.desc	See total receivables (customers owe you) and total payables (you owe suppliers) at a glance.
tutorial.debt-management.steps.dm-summary.title	Debt Overview
tutorial.debt-management.subtitle	Track credits and collections
tutorial.debt-management.title	Debt Management
tutorial.done	Done
tutorial.expense.steps.exp-add.desc	Tap to log a new expense. Enter the payee, amount, category, and notes. You can also set up recurring bills for regular payments like rent or utilities.
tutorial.expense.steps.exp-add.title	Record an Expense
tutorial.expense.steps.exp-budget.desc	Set a monthly spending limit to control costs. Track your spending against budget in real-time and get alerts when you\\'re close to the limit.
tutorial.expense.steps.exp-budget.title	Budget Setting
tutorial.expense.steps.expense.desc	Track every outflow from your business. Monitor spending patterns, manage bills, and stay on top of your financial health.
tutorial.expense.steps.expense.title	Expense Management
tutorial.expense.steps.exp-health.desc	View your overdue and due-today bills here. Tap "Paid" to mark recurring expenses as settled and keep your payment tracking accurate.
tutorial.expense.steps.exp-health.title	Expense Health
tutorial.expense.steps.exp-ledger.desc	Every transaction is recorded chronologically. Tap any entry to view or edit details. Swipe to delete if needed.
tutorial.expense.steps.exp-ledger.title	Expense Ledger
tutorial.expense.steps.exp-summary.desc	See your total monthly expenses, compare against last month, and track spending categories at a glance.
tutorial.expense.steps.exp-summary.title	Monthly Overview
tutorial.expense.subtitle	Monitor and control your spending
tutorial.expense.title	Expense Tracker
tutorial.expense-details.steps.ed-actions.desc	Edit or delete this expense from here. You can also duplicate it for similar recurring entries.
tutorial.expense-details.steps.ed-actions.title	Actions
tutorial.expense-details.steps.ed-amount.desc	The expense amount, category, and subcategory. This helps you understand where your money is going.
tutorial.expense-details.steps.ed-amount.title	Amount & Category
tutorial.expense-details.steps.ed-budget.desc	See how this expense affects your budget. If linked to a budget category, it shows remaining allowance and spending percentage.
tutorial.expense-details.steps.ed-budget.title	Budget Impact
tutorial.expense-details.steps.ed-details.desc	View the expense date, description, and whether it\\'s a recurring payment. Recurring expenses show frequency and next due date.
tutorial.expense-details.steps.ed-details.title	Transaction Info
tutorial.expense-details.steps.expense-details.desc	Review the full details of an expense transaction including amount, category, date, and payment information.
tutorial.expense-details.steps.expense-details.title	Expense Details
tutorial.expense-details.subtitle	Review an expense record
tutorial.expense-details.title	Expense Details
tutorial.expense-form.steps.ef-amount.desc	Type the expense amount. This is the total amount paid or owed for this expense.
tutorial.expense-form.steps.ef-amount.title	Enter Amount
tutorial.expense-form.steps.ef-budget.desc	Optionally link this expense to a budget category. This helps track spending against your planned budget.
tutorial.expense-form.steps.ef-budget.title	Link to Budget
tutorial.expense-form.steps.ef-category.desc	Choose a category that best describes this expense. Categories help you track spending patterns and stay organized.
tutorial.expense-form.steps.ef-category.title	Select Category
tutorial.expense-form.steps.ef-commit.desc	Review all details and tap to record the expense. It will appear in your expense ledger and reports immediately.
tutorial.expense-form.steps.ef-commit.title	Save Expense
tutorial.expense-form.steps.ef-date.desc	Set the date when this expense occurred. This is used for accurate monthly and period reporting.
tutorial.expense-form.steps.ef-date.title	Expense Date
tutorial.expense-form.steps.ef-description.desc	Add a brief description or note about this expense. Include details like vendor name, purpose, or receipt reference.
tutorial.expense-form.steps.ef-description.title	Add Description
tutorial.expense-form.steps.ef-recurring.desc	Toggle this on for bills that repeat (rent, utilities, subscriptions). Set the frequency — daily, weekly, monthly, or yearly.
tutorial.expense-form.steps.ef-recurring.title	Recurring Expense
tutorial.expense-form.steps.expense-form.desc	Follow these steps to log a new expense. Fill in the amount, category, date, and optionally set up recurring payments.
tutorial.expense-form.steps.expense-form.title	Recording an Expense
tutorial.expense-form.subtitle	Log a business expense step by step
tutorial.expense-form.title	Record an Expense
tutorial.expense-list.steps.el-filter.desc	Filter by date range, category, or budget. Search by description or amount to find specific entries.
tutorial.expense-list.steps.el-filter.title	Filter Expenses
tutorial.expense-list.steps.el-list.desc	Each entry shows the amount, category badge, date, and description. Tap any entry to view or edit details.
tutorial.expense-list.steps.el-list.title	Expense List
tutorial.expense-list.steps.expense-list.desc	Browse through all your recorded expenses. Each entry shows the amount, category, date, and description.
tutorial.expense-list.steps.expense-list.title	Expense Records
tutorial.expense-list.subtitle	Browse all expense entries
tutorial.expense-list.title	Expense Records
tutorial.expense-loss.steps.exl-list.desc	Each loss entry shows the amount, type, date, and description. Tap for more details about the incident.
tutorial.expense-loss.steps.exl-list.title	Loss Entries
tutorial.expense-loss.steps.expense-loss.desc	This screen shows expenses categorized as losses — damaged goods, theft, wastage, or other financial losses.
tutorial.expense-loss.steps.expense-loss.title	Loss Tracking
tutorial.expense-loss.subtitle	Track financial losses
tutorial.expense-loss.title	Expense Loss
tutorial.inventory.steps.inv-add.desc	Tap here to add a new product. Fill in the name, category, quantity, prices, and supplier details. You can also configure box/roll settings for bulk items.
tutorial.inventory.steps.inv-add.title	Add New Item
tutorial.inventory.steps.inventory.desc	Your complete inventory management system. Track stock levels, monitor valuations, and manage every item in your store.
tutorial.inventory.steps.inventory.title	Inventory Vault
tutorial.inventory.steps.inv-item.desc	Each card shows the item name, current stock, selling price, and unit. Items below threshold are flagged. Tap a card to view or edit details.
tutorial.inventory.steps.inv-item.title	Item Cards
tutorial.inventory.steps.inv-list.desc	All your inventory items listed here. Use the search bar to find items, filter by category, or sort by price, quantity, or name.
tutorial.inventory.steps.inv-list.title	Stock Ledger
tutorial.inventory.steps.inv-restock.desc	When stock runs low, tap to open the product order modal. Select items and set order quantities to replenish your inventory.
tutorial.inventory.steps.inv-restock.title	Restock Items
tutorial.inventory.steps.inv-stats.desc	View stock distribution by category, see low-stock alerts, track fast vs slow-moving items, and monitor expiration dates.
tutorial.inventory.steps.inv-stats.title	Inventory Insights
tutorial.inventory.steps.inv-valuation.desc	See the total value of your inventory. This updates automatically as you add, sell, or adjust items. Track how your stock value changes over time.
tutorial.inventory.steps.inv-valuation.title	Portfolio Valuation
tutorial.inventory.subtitle	Manage your stock efficiently
tutorial.inventory.title	Inventory
tutorial.inventory-form.steps.if-brand.desc	Enter the manufacturer or brand name. This is useful for identifying products, especially when dealing with multiple suppliers.
tutorial.inventory-form.steps.if-brand.title	Manufacturer / Brand
tutorial.inventory-form.steps.if-commit.desc	Review all details and tap "Initialize Asset" to add the item to your inventory vault. The item will appear in your stock ledger immediately.
tutorial.inventory-form.steps.if-commit.title	Save to Inventory
tutorial.inventory-form.steps.if-expiry.desc	Set an expiration date for perishable items and a quality grade. The system will alert you when items are close to expiring.
tutorial.inventory-form.steps.if-expiry.title	Expiration & Quality
tutorial.inventory-form.steps.if-name.desc	Give your item a clear, descriptive name. Select the appropriate category — this helps with organization and reporting.
tutorial.inventory-form.steps.if-name.title	Item Name & Category
tutorial.inventory-form.steps.if-pricing.desc	Enter the buying price (cost) and selling price. The system calculates your profit margin automatically and warns if you\\'re selling at a loss.
tutorial.inventory-form.steps.if-pricing.title	Cost & Selling Price
tutorial.inventory-form.steps.if-supplier.desc	Add supplier details if purchasing on credit. Log the supplier name, phone, account number, and credit terms.
tutorial.inventory-form.steps.if-supplier.title	Supplier Information
tutorial.inventory-form.steps.if-unit.desc	Choose the unit (pieces, kg, litre, meter, etc.) and enter the initial stock quantity. For bulk items, configure box/roll settings.
tutorial.inventory-form.steps.if-unit.title	Unit & Quantity
tutorial.inventory-form.steps.inventory-form.desc	Follow these steps to add a new product to your inventory. You\\'ll configure identification, pricing, and classification.
tutorial.inventory-form.steps.inventory-form.title	Adding a New Item
tutorial.inventory-form.subtitle	Add a new product to your stock
tutorial.inventory-form.title	Add Inventory Item
tutorial.inventory-records.steps.inventory-records.desc	View the complete movement history for all inventory items — stock additions, sales, adjustments, and transfers.
tutorial.inventory-records.steps.inventory-records.title	Inventory Records
tutorial.inventory-records.steps.ir-filter.desc	Filter by date range, transaction type (purchase, sale, adjustment), or specific item.
tutorial.inventory-records.steps.ir-filter.title	Filter Records
tutorial.inventory-records.steps.ir-list.desc	Every stock movement is listed chronologically with item name, type, quantity change, and resulting balance.
tutorial.inventory-records.steps.ir-list.title	Movement Log
tutorial.inventory-records.steps.ir-summary.desc	See totals for inbound, outbound, and net stock movement for the selected period.
tutorial.inventory-records.steps.ir-summary.title	Movement Summary
tutorial.inventory-records.subtitle	View stock movement history
tutorial.inventory-records.title	Inventory Records
tutorial.item-details.steps.id-actions.desc	Perform actions on this item — restock, adjust price, mark as damaged, or update item details.
tutorial.item-details.steps.id-actions.title	Quick Actions
tutorial.item-details.steps.id-details.desc	Detailed information including category, brand, unit type, supplier, and expiry date for perishable items.
tutorial.item-details.steps.id-details.title	Item Information
tutorial.item-details.steps.id-history.desc	View the complete transaction history for this item — sales, purchases, adjustments, and stock counts.
tutorial.item-details.steps.id-history.title	Movement History
tutorial.item-details.steps.id-stats.desc	View current stock quantity, buying price, selling price, and calculated profit margin. Low stock items are highlighted.
tutorial.item-details.steps.id-stats.title	Stock & Pricing
tutorial.item-details.steps.item-details.desc	This screen shows everything about an inventory item — stock levels, pricing, supplier info, and movement history.
tutorial.item-details.steps.item-details.title	Item Overview
tutorial.item-details.subtitle	View complete inventory item information
tutorial.item-details.title	Item Details
tutorial.low-stock-list.steps.low-stock-list.desc	View all inventory items that are running low and need to be restocked soon.
tutorial.low-stock-list.steps.low-stock-list.title	Low Stock Alerts
tutorial.low-stock-list.steps.lsl-list.desc	Each item shows current stock level, minimum threshold, and supplier information for quick reordering.
tutorial.low-stock-list.steps.lsl-list.title	Low Stock Items
tutorial.low-stock-list.subtitle	Items needing reorder
tutorial.low-stock-list.title	Low Stock Items
tutorial.menu_completed	You completed this tutorial! Take a refresher or restart.
tutorial.menu_continue	Continue from step {step}
tutorial.menu_continue_btn	Continue ({current}/{total})
tutorial.menu_learn	Learn how to use this screen step by step.
tutorial.menu_start	Start Tutorial
tutorial.menu_title	{name} Tutorial
tutorial.next	Next
tutorial.notifications.steps.notifications.desc	View all your business notifications — low stock alerts, payment reminders, expense warnings, and more.
tutorial.notifications.steps.notifications.title	Notifications
tutorial.notifications.steps.nt-actions.desc	Mark notifications as read, dismiss them, or tap to take action directly (e.g., restock a low inventory item).
tutorial.notifications.steps.nt-actions.title	Quick Actions
tutorial.notifications.steps.nt-list.desc	Each notification shows the type, message, and time. Unread notifications are highlighted. Tap to view details.
tutorial.notifications.steps.nt-list.title	Notification Feed
tutorial.notifications.subtitle	Stay informed about your business
tutorial.notifications.title	Notifications
tutorial.notification-settings.steps.notification-settings.desc	Choose which business notifications you receive. Control alerts for stock, payments, expenses, and more.
tutorial.notification-settings.steps.notification-settings.title	Notification Preferences
tutorial.notification-settings.steps.ns-expense.desc	Get alerted about large or unusual expenses. Track budget limits and receive warnings when approaching limits.
tutorial.notification-settings.steps.ns-expense.title	Expense Alerts
tutorial.notification-settings.steps.ns-payment.desc	Receive reminders for upcoming and overdue payments. Stay on top of credit collections and bill payments.
tutorial.notification-settings.steps.ns-payment.title	Payment Reminders
tutorial.notification-settings.steps.ns-save.desc	Save your notification preferences. Changes take effect immediately.
tutorial.notification-settings.steps.ns-save.title	Save Preferences
tutorial.notification-settings.steps.ns-stock.desc	Get notified when inventory items reach low stock levels. Set your preferred threshold for each item.
tutorial.notification-settings.steps.ns-stock.title	Stock Alerts
tutorial.notification-settings.subtitle	Configure your alerts
tutorial.notification-settings.title	Notification Settings
tutorial.oncredit-list.steps.ocl-list.desc	Each entry shows the customer name, item sold, amount due, and days outstanding.
tutorial.oncredit-list.steps.ocl-list.title	Credit Items
tutorial.oncredit-list.steps.oncredit-list.desc	View all items that have been sold on credit and are awaiting payment from customers.
tutorial.oncredit-list.steps.oncredit-list.title	On-Credit Items
tutorial.oncredit-list.subtitle	Items sold on credit
tutorial.oncredit-list.title	On-Credit List
tutorial.order-detail.steps.od-items.desc	The list of items in this order, including quantities, unit prices, and line totals.
tutorial.order-detail.steps.od-items.title	Ordered Items
tutorial.order-detail.steps.od-notes.desc	Any notes or special instructions added when creating the order. Reference numbers and delivery notes are shown here.
tutorial.order-detail.steps.od-notes.title	Notes & Attachments
tutorial.order-detail.steps.od-summary.desc	View the order status, total items, and overall cost. The status indicator shows if the order is pending, received, or cancelled.
tutorial.order-detail.steps.od-summary.title	Order Summary
tutorial.order-detail.steps.order-detail.desc	This screen shows the complete details of a purchase order — items ordered, supplier info, and order status.
tutorial.order-detail.steps.order-detail.title	Purchase Order
tutorial.order-detail.subtitle	Review a purchase order
tutorial.order-detail.title	Order Details
tutorial.orders.steps.ord-add.desc	Tap to create a new customer order. Select items, set quantities, add customer details, and choose payment terms.
tutorial.orders.steps.ord-add.title	Create New Order
tutorial.orders.steps.orders.desc	Track customer orders from creation to fulfillment. Manage order status, quantities, and delivery all in one place.
tutorial.orders.steps.orders.title	Order Management
tutorial.orders.steps.ord-list.desc	All orders organized by status. See pending, confirmed, and completed orders. Tap any order to view details or update status.
tutorial.orders.steps.ord-list.title	Orders List
tutorial.orders.subtitle	Manage customer orders
tutorial.orders.title	Orders
tutorial.pending-sales.steps.pending-sales.desc	View all sale transactions that are in progress or awaiting completion. Complete or cancel pending sales from here.
tutorial.pending-sales.steps.pending-sales.title	Pending Transactions
tutorial.pending-sales.steps.ps-actions.desc	Finalize the sale to record it in your ledger, or cancel to remove all pending items.
tutorial.pending-sales.steps.ps-actions.title	Complete or Cancel
tutorial.pending-sales.steps.ps-list.desc	Items that have been added to a sale but not yet finalized. Review quantities and prices before completing.
tutorial.pending-sales.steps.ps-list.title	Pending Items
tutorial.pending-sales.steps.ps-totals.desc	See the subtotal, discounts, and grand total for the pending transaction in real-time as you make changes.
tutorial.pending-sales.steps.ps-totals.title	Running Total
tutorial.pending-sales.subtitle	Review and complete pending transactions
tutorial.pending-sales.title	Pending Sales
tutorial.price-decrease.steps.pd-commit.desc	Review and confirm to apply the price decrease. The selling price updates immediately in your inventory.
tutorial.price-decrease.steps.pd-commit.title	Apply Decrease
tutorial.price-decrease.steps.pd-date.desc	Set the date for the new price. The adjustment is recorded in your price history.
tutorial.price-decrease.steps.pd-date.title	Effective Date
tutorial.price-decrease.steps.pd-item.desc	Select the item from the search results. Check the current price and margin before reducing.
tutorial.price-decrease.steps.pd-item.title	Select Item
tutorial.price-decrease.steps.pd-price.desc	Enter the reduced selling price. The system shows the discount amount and updated profit margin.
tutorial.price-decrease.steps.pd-price.title	New Selling Price
tutorial.price-decrease.steps.pd-reason.desc	Enter a reason (e.g., promotion, clearance, competitive match). This is logged in the adjustment history.
tutorial.price-decrease.steps.pd-reason.title	Reason for Decrease
tutorial.price-decrease.steps.pd-search.desc	Search for the item whose price you want to decrease. Type the item name to locate it in your inventory.
tutorial.price-decrease.steps.pd-search.title	Find Item
tutorial.price-decrease.steps.price-decrease.desc	Follow these steps to decrease the selling price of an inventory item. Use this for promotions, clearance, or competitive pricing.
tutorial.price-decrease.steps.price-decrease.title	Price Decrease
tutorial.price-decrease.subtitle	Adjust selling prices downward
tutorial.price-decrease.title	Decrease Prices
tutorial.price-increase.steps.pi-commit.desc	Review the details and confirm to apply the price increase. The item\\'s selling price is updated immediately.
tutorial.price-increase.steps.pi-commit.title	Apply Increase
tutorial.price-increase.steps.pi-date.desc	Set the date when the new price takes effect. The change is logged in the price adjustment history for future reference.
tutorial.price-increase.steps.pi-date.title	Effective Date
tutorial.price-increase.steps.pi-item.desc	Select the item from the search results. Review the current price and stock information before adjusting.
tutorial.price-increase.steps.pi-item.title	Select Item
tutorial.price-increase.steps.pi-price.desc	Enter the new selling price. The system will show the price difference and calculate the new profit margin.
tutorial.price-increase.steps.pi-price.title	New Selling Price
tutorial.price-increase.steps.pi-reason.desc	Provide a reason for the price increase (e.g., supplier price change, market adjustment, inflation). This is recorded in the adjustment history.
tutorial.price-increase.steps.pi-reason.title	Reason for Increase
tutorial.price-increase.steps.pi-search.desc	Search for the item whose price you want to increase. Type the item name or scan to locate it in your inventory.
tutorial.price-increase.steps.pi-search.title	Find Item
tutorial.price-increase.steps.price-increase.desc	Follow these steps to increase the selling price of an inventory item. This helps you adjust to market changes or cost increases.
tutorial.price-increase.steps.price-increase.title	Price Increase
tutorial.price-increase.subtitle	Adjust selling prices upward
tutorial.price-increase.title	Increase Prices
tutorial.profile-settings.steps.profile-settings.desc	Manage your personal and business information. Update your name, business name, and profile photo.
tutorial.profile-settings.steps.profile-settings.title	Your Profile
tutorial.profile-settings.steps.pset-avatar.desc	Tap your avatar to change your profile photo. You can take a new photo or choose from your gallery.
tutorial.profile-settings.steps.pset-avatar.title	Profile Photo
tutorial.profile-settings.steps.pset-name.desc	Update your full name and business name. Your name appears on receipts and reports.
tutorial.profile-settings.steps.pset-name.title	Name & Business
tutorial.profile-settings.steps.pset-save.desc	Tap to save your profile changes. Updates are applied immediately across the app.
tutorial.profile-settings.steps.pset-save.title	Save Changes
tutorial.profile-settings.subtitle	Manage your personal information
tutorial.profile-settings.title	Profile Settings
tutorial.reminders.steps.reminders.desc	View all scheduled and past reminders for payments, stock checks, and business tasks.
tutorial.reminders.steps.reminders.title	Reminder History
tutorial.reminders.steps.rm-list.desc	Each reminder shows the title, due date, priority, and status. Completed reminders are marked with a check.
tutorial.reminders.steps.rm-list.title	Reminder List
tutorial.reminders.subtitle	Track your reminders
tutorial.reminders.title	Reminder History
tutorial.restart	Restart
tutorial.sale-form.steps.sale-form.desc	Follow these steps to record a complete sale. You\\'ll select items, set quantities, apply pricing, and choose payment method.
tutorial.sale-form.steps.sale-form.title	Recording a Sale
tutorial.sale-form.steps.sf-commit.desc	Review the summary and tap "Authorize Settlement" to finalize the sale. The transaction is recorded permanently in the sales ledger.
tutorial.sale-form.steps.sf-commit.title	Complete Transaction
tutorial.sale-form.steps.sf-customer.desc	For credit sales, customer name and phone are required. For cash sales, this is optional but recommended for record keeping.
tutorial.sale-form.steps.sf-customer.title	Customer Information
tutorial.sale-form.steps.sf-payment.desc	Choose how the customer pays — cash or digital bank. For credit sales, enter customer details and the amount will be tracked as receivable.
tutorial.sale-form.steps.sf-payment.title	Payment Method
tutorial.sale-form.steps.sf-pricing.desc	Set unit prices, apply discounts, and configure VAT/tax if applicable. The system calculates the subtotal and total automatically.
tutorial.sale-form.steps.sf-pricing.title	Pricing & Discounts
tutorial.sale-form.subtitle	Complete a transaction step by step
tutorial.sale-form.title	Record a Sale
tutorial.sales-details.steps.sales-details.desc	This screen shows the full details of a sale transaction. Review items sold, pricing, payment, and customer information.
tutorial.sales-details.steps.sales-details.title	Transaction Details
tutorial.sales-details.steps.sd-customer.desc	Customer details including name and contact information. For credit sales, you can initiate payment collection from here.
tutorial.sales-details.steps.sd-customer.title	Customer Info
tutorial.sales-details.steps.sd-items.desc	This list shows every item in the transaction, including quantity, unit price, and subtotal. Tap any item for more details.
tutorial.sales-details.steps.sd-items.title	Items Sold
tutorial.sales-details.steps.sd-payment.desc	The payment method used (cash or transfer) and the payment status. For credit sales, the remaining balance is shown.
tutorial.sales-details.steps.sd-payment.title	Payment Method
tutorial.sales-details.steps.sd-pricing.desc	See the subtotal, discounts applied, tax (VAT/TOT), and the grand total. This section helps with accounting and reconciliation.
tutorial.sales-details.steps.sd-pricing.title	Pricing Breakdown
tutorial.sales-details.steps.sd-summary.desc	View the total amount, payment status, and transaction date at a glance. The header shows whether the sale is paid, pending, or on credit.
tutorial.sales-details.steps.sd-summary.title	Sale Summary
tutorial.sales-details.subtitle	Review a completed transaction
tutorial.sales-details.title	Sale Details
tutorial.sales-hub.steps.sales-add.desc	Tap the + button to expand the action menu, then tap the add item icon to start recording a new sale.
tutorial.sales-hub.steps.sales-add.title	Record a New Sale
tutorial.sales-hub.steps.sales-chart.desc	Visualize your sales trends with interactive charts. Toggle between daily, weekly, and monthly views to analyze performance over time.
tutorial.sales-hub.steps.sales-chart.title	Sales Analytics Chart
tutorial.sales-hub.steps.sales-hub.desc	This is your complete sales management center. View total revenue, track transactions, analyze trends, and record new sales — all in one place.
tutorial.sales-hub.steps.sales-hub.title	Sales Hub Overview
tutorial.sales-hub.steps.sales-ledger.desc	Every transaction is recorded here. Scroll through your sales history, tap any entry to see details, edit, or delete.
tutorial.sales-hub.steps.sales-ledger.title	Sales Ledger
tutorial.sales-hub.steps.sales-pending.desc	Manage unsettled credit sales here. Track who owes you money, send reminders, and mark payments as received.
tutorial.sales-hub.steps.sales-pending.title	Pending & Credit Sales
tutorial.sales-hub.steps.sales-revenue.desc	Your total sales revenue for today. The bar chart below shows your weekly trend so you can spot patterns at a glance.
tutorial.sales-hub.steps.sales-revenue.title	Revenue Summary
tutorial.sales-hub.steps.sales-top.desc	See which products sell the most. Use this insight to stock popular items and maximize your revenue.
tutorial.sales-hub.steps.sales-top.title	Top Performing Items
tutorial.sales-hub.subtitle	Track and manage your sales
tutorial.sales-hub.title	Sales Hub
tutorial.sales-records.steps.sales-records.desc	This screen lists all your sales transactions. Browse, search, and filter through your complete sales history.
tutorial.sales-records.steps.sales-records.title	Sales Records
tutorial.sales-records.steps.sr-export.desc	Export your sales data as a PDF or CSV report for accounting and record-keeping purposes.
tutorial.sales-records.steps.sr-export.title	Export Records
tutorial.sales-records.steps.sr-filter.desc	Filter transactions by date range, payment status, or customer. Search by transaction ID or customer name.
tutorial.sales-records.steps.sr-filter.title	Filter & Search
tutorial.sales-records.steps.sr-list.desc	Each entry shows the date, customer, item count, total amount, and payment status. Tap any entry for full details.
tutorial.sales-records.steps.sr-list.title	Transaction List
tutorial.sales-records.steps.sr-summary.desc	See total sales, transaction count, and average per sale for the selected period at a glance.
tutorial.sales-records.steps.sr-summary.title	Period Summary
tutorial.sales-records.subtitle	Browse all transactions
tutorial.sales-records.title	Sales Records
tutorial.security-settings.steps.sec-biometric.desc	Enable fingerprint or face ID for quicker, secure access to the app without entering your PIN each time.
tutorial.security-settings.steps.sec-biometric.title	Biometric Auth
tutorial.security-settings.steps.sec-pin.desc	Update your 6-digit security PIN. This is required to access the app and authorize transactions.
tutorial.security-settings.steps.sec-pin.title	Change PIN
tutorial.security-settings.steps.sec-recovery.desc	View your recovery code. Keep this safe — it\\'s the only way to regain access if you forget your PIN.
tutorial.security-settings.steps.sec-recovery.title	Recovery Code
tutorial.security-settings.steps.security-settings.desc	Manage your account security settings — PIN, biometric authentication, and recovery options.
tutorial.security-settings.steps.security-settings.title	Security
tutorial.security-settings.subtitle	Protect your account
tutorial.security-settings.title	Security Settings
tutorial.settings.steps.settings.desc	Configure every aspect of your app. From appearance and security to notifications and data management, everything is here.
tutorial.settings.steps.settings.title	Settings Center
tutorial.settings.steps.settings-export.desc	Export your database as a backup file for safekeeping. Regular backups protect your business data against accidental loss.
tutorial.settings.steps.settings-export.title	Data Management
tutorial.settings.steps.settings-language.desc	Switch between English, Amharic, Oromo, and Tigrinya. The calendar, date format, and time system adapt automatically.
tutorial.settings.steps.settings-language.title	Language & Localization
tutorial.settings.steps.settings-notifications.desc	Control which alerts you receive — stock shortages, expiration reminders, daily summaries, credit alerts, and more.
tutorial.settings.steps.settings-notifications.title	Notification Preferences
tutorial.settings.steps.settings-profile.desc	Edit your name, business name, and avatar. Your profile appears in the dashboard header and reports.
tutorial.settings.steps.settings-profile.title	Profile & Account
tutorial.settings.steps.settings-security.desc	Set or change your PIN, enable biometric unlock (fingerprint/Face ID), and manage your recovery code for account access.
tutorial.settings.steps.settings-security.title	Security & Privacy
tutorial.settings.steps.settings-theme.desc	Choose from 7 premium themes: Light, Dark, Midnight, Emerald, Charcoal, Slate, and Cocoa. Each theme has a carefully crafted color palette.
tutorial.settings.steps.settings-theme.title	Theme Selection
tutorial.settings.subtitle	Customize your experience
tutorial.settings.title	Settings
tutorial.summary.steps.sum-financial.desc	Your key financial metrics: total revenue, items sold, expenses, and outstanding amounts. Compare performance trends at a glance.
tutorial.summary.steps.sum-financial.title	Financial Summary
tutorial.summary.steps.sum-insights.desc	AI-powered insights about your business efficiency. Get recommendations on improving operations, reducing costs, and maximizing profits.
tutorial.summary.steps.sum-insights.title	Intelligence Insights
tutorial.summary.steps.summary.desc	A comprehensive overview of your business performance. See financial summaries, operational metrics, and intelligence insights all in one dashboard.
tutorial.summary.steps.summary.title	Business Summary
tutorial.summary.steps.sum-pulse.desc	The net pulse shows the difference between your sales inflow and operational outflow. A positive pulse means you\\'re earning more than you\\'re spending.
tutorial.summary.steps.sum-pulse.title	Performance Pulse
tutorial.summary.steps.sum-velocity.desc	Track price adjustments and net profit at a glance. The top card shows cumulative price changes, while the bottom card displays your overall net profit after all expenses and losses.
tutorial.summary.steps.sum-velocity.title	Velocity Spotlight
tutorial.summary.subtitle	Business performance insights
tutorial.summary.title	Summary
tutorial.support.steps.su-contact.desc	Reach out to our support team via email or phone. We\\'re here to help with any issues or questions.
tutorial.support.steps.su-contact.title	Contact Support
tutorial.support.steps.su-faq.desc	Browse frequently asked questions and user guides to learn more about app features.
tutorial.support.steps.su-faq.title	FAQ & Guides
tutorial.support.steps.su-info.desc	View the app version, build number, and system status. Check for updates here.
tutorial.support.steps.su-info.title	App Information
tutorial.support.steps.support.desc	Access app information, contact support, and view frequently asked questions.
tutorial.support.steps.support.title	Help & Support
tutorial.support.subtitle	Get help and app information
tutorial.support.title	Help & Support
tutorial.translation.steps.translation.desc	Choose your preferred language for the app interface. All menus, labels, and notifications will use your selection.
tutorial.translation.steps.translation.title	Language Selection
tutorial.translation.steps.tr-current.desc	Your current language is highlighted. Tap a different language to switch.
tutorial.translation.steps.tr-current.title	Current Language
tutorial.translation.steps.tr-list.desc	Select from available languages. The app interface will update immediately to your chosen language.
tutorial.translation.steps.tr-list.title	Available Languages
tutorial.translation.subtitle	Choose your preferred language
tutorial.translation.title	Language Settings
tutorial.warehouse-manager.steps.warehouse-manager.desc	Manage your storage locations and organize inventory across multiple warehouses or storage areas.
tutorial.warehouse-manager.steps.warehouse-manager.title	Warehouse Management
tutorial.warehouse-manager.steps.wm-list.desc	View all your warehouses and storage locations. Each entry shows item count and total stock value.
tutorial.warehouse-manager.steps.wm-list.title	Warehouse List
tutorial.warehouse-manager.subtitle	Manage your storage locations
tutorial.warehouse-manager.title	Warehouse Manager
